code;parking_status;create_by;create_date;last_modified_by;last_modified_date
b9ea466d-d7ad-4934-a19f-7a94bee74e3a;FREE;Handcrafted Ball non-volatile;2023-11-22T19:32:35;Advanced;2023-11-22T21:21:21
142e43ee-6c30-4a25-bc2b-b93967e664ab;USE;Superviseur;2023-11-23T10:36:13;Auvergne Buckinghamshire Games;2023-11-23T09:19:05
d96301fc-11ba-46dc-92d1-f82bcedfabb1;FREE;convergence TCP Practical;2023-11-23T11:20:13;Aquitaine violet AGP;2023-11-23T05:30:01
63f74754-fdae-4e39-be8c-cae12a3e6f74;FREE;optical productize Metal;2023-11-22T20:23:12;up;2023-11-23T12:33:56
449f0bc2-e023-48a6-bcf4-456b51c52882;FREE;Handmade;2023-11-22T20:47:46;silver convergence;2023-11-23T12:33:59
f9c6e7be-7b27-4c35-937b-a7dbb20c325e;FREE;envisioneer well-modulated;2023-11-23T07:07:42;quantify Account;2023-11-23T11:19:36
eb0cdf0e-46c6-40ac-bd82-31729630346e;USE;programming backing brand;2023-11-23T05:44:56;Credit violet TCP;2023-11-23T07:55:06
ee087b1b-a13f-4151-bfd5-874d0a0040dc;FREE;b Pre-emptive Stagiaire;2023-11-23T09:06:53;Lek withdrawal;2023-11-23T12:27:00
b2706aaf-ecf3-4f58-9ef4-03195a27a5cb;USE;extend Car;2023-11-22T23:21:45;Guatemala;2023-11-23T11:07:17
cdaa52a7-da8b-4465-8942-59740948418a;FREE;open-source Buckinghamshire;2023-11-23T08:45:15;a;2023-11-23T07:44:36
